2017-09-25 16:17:57,717 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mall:mall-web:0.0.1-SNAPSHOT @ E:\java-eclipse(boot5)\mall-web\pom.xml.
2017-09-25 16:17:57,839 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:58,094 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mall:mall-service:0.0.1-SNAPSHOT @ E:\java-eclipse(boot5)\mall-service\pom.xml.
2017-09-25 16:17:58,265 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:58,267 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:58,731 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:58,732 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:58,735 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:58,736 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:59,053 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:59,843 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:59,843 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-25 16:17:59,844 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-25 16:17:59,845 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:59,846 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-facade\src\test\resources
2017-09-25 16:18:00,467 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:18:00,470 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-25 16:18:00,471 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-25 16:18:00,473 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:18:00,473 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-facade\src\test\resources
2017-09-25 16:18:01,039 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:18:01,041 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:18:01,043 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:18:01,045 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:18:01,059 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:18:01,059 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-25 16:18:01,059 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-25 16:18:01,060 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:18:01,060 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-service\src\test\resources
2017-09-25 16:18:01,472 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
